Player,Season,From Club,To Club,Market Value,Transfer Fee
Malick Thiaw,10/11,Düsseldorf Yth.,Leverkusen Yth.,-,free transfer
Malick Thiaw,09/10,TV Kalkum Jgd.,Düsseldorf Yth.,-,free transfer
Folarin Balogun,23/24,Arsenal,Monaco,€30.00m,€30.00m
Folarin Balogun,22/23,Stade Reims,Arsenal,€30.00m,End of loan
Folarin Balogun,22/23,Arsenal,Stade Reims,€4.00m,loan transfer
Folarin Balogun,22/23,Arsenal U21,Arsenal,€4.00m,-
Folarin Balogun,21/22,Middlesbrough,Arsenal U23,€4.00m,End of loan
Folarin Balogun,21/22,Arsenal U23,Middlesbrough,€4.00m,loan transfer
Folarin Balogun,19/20,Arsenal U18,Arsenal U23,-,-
Folarin Balogun,17/18,Arsenal Youth,Arsenal U18,-,-
Ian Maatsen,23/24,Bor. Dortmund,Chelsea,€30.00m,End of loan
Ian Maatsen,23/24,Chelsea,Bor. Dortmund,€20.00m,loan transfer
Ian Maatsen,23/24,Chelsea U21,Chelsea,€12.00m,-
Ian Maatsen,22/23,Burnley,Chelsea U21,€9.00m,End of loan
Ian Maatsen,22/23,Chelsea U21,Burnley,€5.00m,loan transfer
Ian Maatsen,21/22,Coventry,Chelsea U23,€5.00m,End of loan
Ian Maatsen,21/22,Chelsea U23,Coventry,-,loan transfer
Ian Maatsen,20/21,Charlton,Chelsea U23,-,End of loan
Ian Maatsen,20/21,Chelsea U23,Charlton,-,loan transfer
Ian Maatsen,19/20,Chelsea U18,Chelsea U23,-,-
Ian Maatsen,18/19,PSV Youth,Chelsea U18,-,€110k
Ian Maatsen,15/16,Sparta Youth,PSV Youth,-,€26k
Ian Maatsen,13/14,Feyenoord Youth,Sparta Youth,-,free transfer
Kiernan Dewsbury-Hall,21/22,Leicester U21,Leicester,€2.00m,-
Kiernan Dewsbury-Hall,20/21,Luton,Leicester U21,€2.00m,End of loan
Kiernan Dewsbury-Hall,20/21,Leicester U21,Luton,-,loan transfer
Kiernan Dewsbury-Hall,19/20,Blackpool,Leicester U21,-,End of loan
Kiernan Dewsbury-Hall,19/20,Leicester U21,Blackpool,-,loan transfer
Kiernan Dewsbury-Hall,17/18,Leicester U18,Leicester U21,-,-
Ansu Fati,23/24,Brighton,Barcelona,€30.00m,End of loan
Ansu Fati,23/24,Barcelona,Brighton,€35.00m,loan transfer
Ansu Fati,20/21,Barcelona B,Barcelona,€50.00m,-
Ansu Fati,19/20,Barça U19,Barcelona B,€25.00m,-
Ansu Fati,18/19,Barça U18,Barça U19,-,-
Ansu Fati,17/18,Barça U16,Barça U18,-,-
Ansu Fati,16/17,Barça Youth,Barça U16,-,-
Ansu Fati,12/13,Sevilla FC Yth.,Barça Youth,-,free transfer
João Félix,23/24,Barcelona,Atlético Madrid,€30.00m,End of loan
João Félix,23/24,Atlético Madrid,Barcelona,€50.00m,loan transfer
João Félix,22/23,Chelsea,Atlético Madrid,€50.00m,End of loan
João Félix,22/23,Atlético Madrid,Chelsea,€50.00m,"Loan fee:
€11.00m"
João Félix,19/20,Benfica,Atlético Madrid,€70.00m,€127.20m
João Félix,18/19,Benfica B,Benfica,€2.00m,-
João Félix,17/18,Benfica U19,Benfica B,€500k,-
João Félix,16/17,Benfica U17,Benfica U19,-,-
João Félix,15/16,Padroense U17,Benfica U17,-,free transfer
João Félix,14/15,FC Porto U15,Padroense U17,-,-
João Félix,12/13,FC Porto Youth,FC Porto U15,-,-
Morten Hjulmand,23/24,Lecce,Sporting CP,€15.00m,€18.00m
Morten Hjulmand,20/21,Admira Wacker,Lecce,€700k,€2.50m
Morten Hjulmand,18/19,Copenhagen U19,Admira Wacker,€50k,free transfer
Morten Hjulmand,16/17,FCK Youth,Copenhagen U19,-,-
Orkun Kökçü,23/24,Feyenoord,Benfica,€35.00m,€25.00m
Orkun Kökçü,18/19,Feyenoord U19,Feyenoord,-,-
Orkun Kökçü,17/18,Feyenoord U17,Feyenoord U19,-,-
Orkun Kökçü,16/17,Feyenoord Youth,Feyenoord U17,-,-
Orkun Kökçü,14/15,Groningen Youth,Feyenoord Youth,-,€40k
Orkun Kökçü,11/12,Stormvogels Jgd,Groningen Youth,-,free transfer
Charles De Ketelaere,23/24,Atalanta BC,AC Milan,€30.00m,End of loan
Charles De Ketelaere,23/24,AC Milan,Atalanta BC,€22.00m,"Loan fee:
€3.00m"
Charles De Ketelaere,22/23,Club Brugge,AC Milan,€30.00m,€36.50m
Charles De Ketelaere,19/20,FC Brügge U21,Club Brugge,-,-
Charles De Ketelaere,17/18,FC Brügge U17,FC Brügge U21,-,-
Charles De Ketelaere,17/18,Club Brugge Yth,FC Brügge U17,-,-
Pedro Gonçalves,20/21,Famalicão,Sporting CP,€7.00m,€13.50m
Pedro Gonçalves,19/20,Wolves U21,Famalicão,-,€1.30m
Pedro Gonçalves,17/18,Valencia U19,Wolves U21,-,free transfer
Pedro Gonçalves,15/16,Braga U17,Valencia U19,-,free transfer
Pedro Gonçalves,14/15,Braga U15,Braga U17,-,-
Pedro Gonçalves,11/12,SC Braga Youth,Braga U15,-,-
Pedro Gonçalves,10/11,Chaves CJ,SC Braga Youth,-,free transfer
Pedro Gonçalves,08/09,Vidago For.,Chaves CJ,-,free transfer
Ademola Lookman,22/23,RB Leipzig,Atalanta BC,€10.00m,€9.20m
Ademola Lookman,21/22,Leicester,RB Leipzig,€10.00m,End of loan
Ademola Lookman,21/22,RB Leipzig,Leicester,€11.00m,loan transfer
Ademola Lookman,20/21,Fulham,RB Leipzig,€11.00m,End of loan
Ademola Lookman,20/21,RB Leipzig,Fulham,€10.00m,"Loan fee:
€2.00m"
Ademola Lookman,19/20,Everton,RB Leipzig,€20.00m,€18.00m
Ademola Lookman,17/18,RB Leipzig,Everton,€12.00m,End of loan
Ademola Lookman,17/18,Everton,RB Leipzig,€7.00m,"Loan fee:
€500k"
Ademola Lookman,16/17,Charlton,Everton,€1.50m,€8.80m
Ademola Lookman,15/16,Charlton U18,Charlton,-,-
Davide Frattesi,24/25,Sassuolo,Inter,€30.00m,€27.00m
Davide Frattesi,23/24,Inter,Sassuolo,€30.00m,End of loan
Davide Frattesi,23/24,Sassuolo,Inter,€25.00m,"Loan fee:
€6.00m"
Davide Frattesi,20/21,Monza,Sassuolo,€8.50m,End of loan
Davide Frattesi,20/21,Sassuolo,Monza,€5.00m,loan transfer
Davide Frattesi,19/20,FC Empoli,Sassuolo,€5.00m,End of loan
Davide Frattesi,19/20,Sassuolo,FC Empoli,€2.50m,loan transfer
Davide Frattesi,18/19,Ascoli,Sassuolo,€2.50m,End of loan
Davide Frattesi,18/19,Sassuolo,Ascoli,€1.00m,loan transfer
Davide Frattesi,17/18,AS Roma,Sassuolo,€200k,€14.60m
Davide Frattesi,16/17,Roma U17,Roma U19,-,-
Davide Frattesi,15/16,AS Rom Youth,Roma U17,-,-
Davide Frattesi,14/15,Lazio Youth,AS Rom Youth,-,free transfer
Nico Schlotterbeck,22/23,SC Freiburg,Bor. Dortmund,€33.00m,€20.00m
Nico Schlotterbeck,20/21,Union Berlin,SC Freiburg,€7.50m,End of loan
Nico Schlotterbeck,20/21,SC Freiburg,Union Berlin,€4.00m,loan transfer
Nico Schlotterbeck,19/20,SC Freiburg II,SC Freiburg,€300k,-
Nico Schlotterbeck,18/19,SC Freiburg U19,SC Freiburg II,-,-
Nico Schlotterbeck,17/18,Karlsruhe U19,SC Freiburg U19,-,€90k
Nico Schlotterbeck,16/17,Karlsruhe U17,Karlsruhe U19,-,-
Nico Schlotterbeck,15/16,VfR Aalen U17,Karlsruhe U17,-,free transfer
Nico Schlotterbeck,14/15,S. Kickers Yth.,VfR Aalen U17,-,free transfer
Nico Schlotterbeck,07/08,Weinstadt Yth.,S. Kickers Yth.,-,free transfer
Alessandro Buongiorno,19/20,Trapani,Torino,€600k,End of loan
Alessandro Buongiorno,19/20,Torino,Trapani,€500k,loan transfer
Alessandro Buongiorno,18/19,Carpi,Torino,€500k,End of loan
Alessandro Buongiorno,18/19,Torino,Carpi,€125k,loan transfer
Alessandro Buongiorno,18/19,Torino U19,Torino,€125k,-
Alessandro Buongiorno,16/17,Torino U17,Torino U19,-,-
Alessandro Buongiorno,15/16,Torino FC Youth,Torino U17,-,-
Frank Anguissa,22/23,Fulham,SSC Napoli,€30.00m,€16.00m
Frank Anguissa,21/22,SSC Napoli,Fulham,€30.00m,End of loan
Frank Anguissa,21/22,Fulham,SSC Napoli,€25.00m,"Loan fee:
€1.30m"
Frank Anguissa,19/20,Villarreal,Fulham,€20.00m,End of loan
Frank Anguissa,19/20,Fulham,Villarreal,€25.00m,loan transfer
Frank Anguissa,18/19,Marseille,Fulham,€18.00m,€24.85m
Frank Anguissa,16/17,Marseille B,Marseille,€300k,-
Frank Anguissa,15/16,Stade Reims B,Marseille B,-,free transfer
Frank Anguissa,14/15,Coton Sport FC,Stade Reims B,-,free transfer
Fabián Ruiz,22/23,SSC Napoli,Paris SG,€55.00m,€23.00m
Fabián Ruiz,18/19,Real Betis,SSC Napoli,€20.00m,€30.00m
Fabián Ruiz,16/17,Elche CF,Real Betis,€500k,End of loan
Fabián Ruiz,16/17,Real Betis,Elche CF,€500k,loan transfer
Fabián Ruiz,16/17,Betis B,Real Betis,€500k,-
Fabián Ruiz,14/15,Betis U19,Betis B,-,-
Noussair Mazraoui,22/23,Ajax,Bayern Munich,€20.00m,free transfer
Noussair Mazraoui,17/18,Ajax U21,Ajax,€600k,-
Noussair Mazraoui,16/17,Ajax U19,Ajax U21,€25k,-
Noussair Mazraoui,14/15,Ajax U17,Ajax U19,-,-
Noussair Mazraoui,13/14,Ajax Youth,Ajax U17,-,-
Noussair Mazraoui,05/06,Alphense B. Jgd,Ajax Youth,-,free transfer
Eddie Nketiah,19/20,Leeds,Arsenal,€8.00m,End of loan
Eddie Nketiah,19/20,Arsenal,Leeds,€8.00m,loan transfer
Eddie Nketiah,18/19,Arsenal U23,Arsenal,-,-
Eddie Nketiah,17/18,Arsenal U18,Arsenal U23,-,-
Eddie Nketiah,15/16,Chelsea Youth,Arsenal U18,-,free transfer
Takehiro Tomiyasu,21/22,Bologna,Arsenal,€20.00m,€18.60m
Takehiro Tomiyasu,19/20,Sint-Truiden,Bologna,€9.00m,€7.00m
Takehiro Tomiyasu,17/18,Avispa Fukuoka,Sint-Truiden,€350k,€800k
Takehiro Tomiyasu,15/16,Avispa U18,Avispa Fukuoka,-,-
Malcom,23/24,Zenit S-Pb,Al-Hilal,€30.00m,€60.00m
Malcom,19/20,Barcelona,Zenit S-Pb,€40.00m,€41.50m
Malcom,18/19,G. Bordeaux,Barcelona,€45.00m,€41.00m
Malcom,15/16,Corinthians,G. Bordeaux,€10.00m,€5.00m
Malcom,13/14,Corinthians U20,Corinthians,-,-
Mathias Jensen,19/20,Celta de Vigo,Brentford,€2.50m,€3.80m
Mathias Jensen,18/19,Nordsjaelland,Celta de Vigo,€1.50m,€5.00m
Mathias Jensen,15/16,Nordsjaell. U19,Nordsjaelland,-,-
Mathias Jensen,13/14,FCN Youth,Nordsjaell. U19,-,-
Ben Chilwell,20/21,Leicester,Chelsea,€40.00m,€50.20m
Ben Chilwell,15/16,Huddersfield,Leicester,-,End of loan
Ben Chilwell,15/16,Leicester,Huddersfield,-,loan transfer
Ben Chilwell,15/16,Leicester U21,Leicester,-,-
Ben Chilwell,14/15,Leicester U18,Leicester U21,-,-
Marcos Llorente,19/20,Real Madrid,Atlético Madrid,€20.00m,€30.00m
Marcos Llorente,16/17,Alavés,Real Madrid,€15.00m,End of loan
Marcos Llorente,16/17,Real Madrid,Alavés,€800k,loan transfer
Marcos Llorente,16/17,RM Castilla,Real Madrid,-,-
Marcos Llorente,14/15,Real Madrid U19,RM Castilla,€200k,-
Marcos Llorente,13/14,Real Madrid U18,Real Madrid U19,-,-
Marcos Llorente,12/13,Real Madrid U17,Real Madrid U18,-,-
Marcos Llorente,11/12,R.Madrid Yth.,Real Madrid U17,-,-
Marcos Llorente,08/09,CF Rayo Majadaho,R.Madrid Yth.,-,free transfer
Aleksandr Golovin,18/19,CSKA Moscow,Monaco,€25.00m,€30.00m
Aleksandr Golovin,15/16,CSKA Moscow II,CSKA Moscow,€100k,-
Aleksandr Golovin,13/14,Akademia CSKA,CSKA Moscow II,-,-
Rodrigo de Paul,21/22,Udinese Calcio,Atlético Madrid,€38.00m,€35.00m
Rodrigo de Paul,16/17,Valencia,Udinese Calcio,€2.50m,€10.00m
Rodrigo de Paul,15/16,Racing Club,Valencia,€4.50m,End of loan
Rodrigo de Paul,15/16,Valencia,Racing Club,€5.00m,loan transfer
Rodrigo de Paul,14/15,Racing Club,Valencia,€3.50m,€6.55m
Rodrigo de Paul,12/13,Racing Club U20,Racing Club,-,-
Otávio,23/24,FC Porto,Al-Nassr,€35.00m,€60.00m
Otávio,15/16,Vit. Guimarães,FC Porto,€3.25m,End of loan
Otávio,14/15,FC Porto,Vit. Guimarães,€4.50m,loan transfer
Otávio,14/15,Internacional,FC Porto,€2.00m,€2.50m
Otávio,12/13,Inter B,Internacional,-,-
Otávio,09/10,Santa Cruz U20,Inter B,-,?
José Gayà,14/15,Valencia B,Valencia,€1.00m,-
José Gayà,12/13,Valencia U19,Valencia B,-,-
Jonathan Tah,15/16,Hamburger SV,B. Leverkusen,€6.00m,€9.50m
Jonathan Tah,14/15,F. Düsseldorf,Hamburger SV,€4.00m,End of loan
Jonathan Tah,14/15,Hamburger SV,F. Düsseldorf,€6.50m,loan transfer
Jonathan Tah,13/14,Hamburg U19,Hamburger SV,-,-
Jonathan Tah,12/13,Hamburg U17,Hamburg U19,-,-
Jonathan Tah,11/12,HSV Yth.,Hamburg U17,-,-
Jonathan Tah,09/10,Concordia Yth.,HSV Yth.,-,free transfer
Jonathan Tah,09/10,Altona 93 Yth.,Concordia Yth.,-,free transfer
John McGinn,18/19,Hibernian FC,Aston Villa,€1.75m,€3.10m
John McGinn,15/16,St. Mirren,Hibernian FC,€450k,€1.16m
John McGinn,12/13,St. Mirren FC U20,St. Mirren,-,-
John McGinn,11/12,St. Mirren FC U17,St. Mirren FC U20,-,-
Stanislav Lobotka,19/20,Celta de Vigo,SSC Napoli,€20.00m,€21.00m
Stanislav Lobotka,17/18,Nordsjaelland,Celta de Vigo,€1.00m,€5.00m
Stanislav Lobotka,15/16,AS Trencin,Nordsjaelland,€600k,€500k
Stanislav Lobotka,13/14,Ajax U21,AS Trencin,€300k,End of loan
Stanislav Lobotka,13/14,AS Trencin,Ajax U21,€200k,loan transfer
Stanislav Lobotka,11/12,AS Trencin U19,AS Trencin,-,-
João Cancelo,23/24,Barcelona,Man City,€30.00m,End of loan
João Cancelo,23/24,Man City,Barcelona,€50.00m,loan transfer
João Cancelo,22/23,Bayern Munich,Man City,€50.00m,End of loan
João Cancelo,22/23,Man City,Bayern Munich,€70.00m,loan transfer
João Cancelo,19/20,Juventus,Man City,€55.00m,€65.00m
João Cancelo,18/19,Valencia,Juventus,€35.00m,€40.40m
João Cancelo,17/18,Inter,Valencia,€35.00m,End of loan
João Cancelo,17/18,Valencia,Inter,€20.00m,loan transfer
João Cancelo,15/16,Benfica,Valencia,€5.00m,€15.00m
João Cancelo,14/15,Valencia,Benfica,€2.00m,End of loan
João Cancelo,14/15,Benfica,Valencia,€2.00m,loan transfer
João Cancelo,14/15,Benfica B,Benfica,€2.00m,-
João Cancelo,12/13,Benfica U19,Benfica B,€1.00m,-
João Cancelo,11/12,Benfica U17,Benfica U19,-,-
João Cancelo,09/10,Benfica U15,Benfica U17,-,-
João Cancelo,07/08,Barreirense J,Benfica U15,-,?
Leon Goretzka,18/19,FC Schalke 04,Bayern Munich,€40.00m,free transfer
Leon Goretzka,13/14,VfL Bochum,FC Schalke 04,€4.50m,€3.25m
Leon Goretzka,12/13,VfL Bochum U19,VfL Bochum,-,-
Leon Goretzka,11/12,VfL Bochum U17,VfL Bochum U19,-,-
Leon Goretzka,10/11,VfL Bochum Yth.,VfL Bochum U17,-,-
Leon Goretzka,01/02,WSV Bochum Yth.,VfL Bochum Yth.,-,free transfer
Jan Oblak,14/15,Benfica,Atlético Madrid,€4.00m,€16.00m
Jan Oblak,12/13,Rio Ave,Benfica,€2.40m,End of loan
Jan Oblak,12/13,Benfica,Rio Ave,€1.10m,loan transfer
Jan Oblak,11/12,Leiria,Benfica,€1.10m,End of loan
Jan Oblak,11/12,Benfica,Leiria,€700k,loan transfer
Jan Oblak,10/11,Olhanense,Benfica,€750k,End of loan
Jan Oblak,10/11,Benfica,Olhanense,€750k,loan transfer
Jan Oblak,09/10,Beira-Mar,Benfica,€750k,End of loan
Jan Oblak,09/10,Benfica,Beira-Mar,€750k,loan transfer
Jan Oblak,09/10,NK Olimpija,Benfica,€750k,€4.00m
Jan Oblak,08/09,Olimpija U19,NK Olimpija,-,-
Romelu Lukaku,23/24,AS Roma,Chelsea,€30.00m,End of loan
Romelu Lukaku,23/24,Chelsea,AS Roma,€40.00m,"Loan fee:
€5.80m"
Romelu Lukaku,22/23,Inter,Chelsea,€40.00m,End of loan
Romelu Lukaku,22/23,Chelsea,Inter,€70.00m,"Loan fee:
€7.86m"
Romelu Lukaku,21/22,Inter,Chelsea,€100.00m,€113.00m
Romelu Lukaku,19/20,Man Utd,Inter,€75.00m,€74.00m
Romelu Lukaku,17/18,Everton,Man Utd,€50.00m,€84.70m
Romelu Lukaku,14/15,Chelsea,Everton,€25.00m,€35.36m
Romelu Lukaku,13/14,Everton,Chelsea,€25.00m,End of loan
Romelu Lukaku,13/14,Chelsea,Everton,€24.00m,"Loan fee:
€3.50m"
Romelu Lukaku,12/13,West Brom,Chelsea,€19.00m,End of loan
Romelu Lukaku,12/13,Chelsea,West Brom,€14.00m,loan transfer
Romelu Lukaku,11/12,RSC Anderlecht,Chelsea,€15.00m,€15.00m
Romelu Lukaku,09/10,Anderlecht U17,RSC Anderlecht,€400k,-
Romelu Lukaku,08/09,Anderlecht Yth.,Anderlecht U17,-,-
Romelu Lukaku,06/07,Lierse SK Yth.,Anderlecht Yth.,-,?
Marc-André ter Stegen,14/15,Bor. M'gladbach,Barcelona,€20.00m,€12.00m
Marc-André ter Stegen,10/11,M'gladbach II,Bor. M'gladbach,€200k,-
Marc-André ter Stegen,10/11,M'gladbach U19,M'gladbach II,€100k,-
Marc-André ter Stegen,09/10,M'gladbach U17,M'gladbach U19,-,-
Marc-André ter Stegen,07/08,M'gladbach Yth.,M'gladbach U17,-,-
Mateo Kovacic,23/24,Chelsea,Man City,€38.00m,€29.10m
Mateo Kovacic,19/20,Real Madrid,Chelsea,€35.00m,€45.00m
Mateo Kovacic,18/19,Chelsea,Real Madrid,€35.00m,End of loan
Mateo Kovacic,18/19,Real Madrid,Chelsea,€30.00m,loan transfer
Mateo Kovacic,15/16,Inter,Real Madrid,€22.00m,€38.00m
Mateo Kovacic,12/13,Dinamo Zagreb,Inter,€3.00m,€11.00m
Mateo Kovacic,10/11,Din. Zagreb U17,Dinamo Zagreb,-,-
Mateo Kovacic,09/10,D. Zagreb Yth.,Din. Zagreb U17,-,-
Mateo Kovacic,07/08,LASK Youth,D. Zagreb Yth.,-,?
Mateo Kovacic,00/01,Ebelsberg J.,LASK Youth,-,?
Lionel Messi,23/24,Paris SG,Miami,€35.00m,free transfer
Lionel Messi,21/22,Barcelona,Paris SG,€80.00m,free transfer
Lionel Messi,05/06,Barcelona B,Barcelona,€3.00m,-
Lionel Messi,03/04,Barcelona C,Barcelona B,-,-
Lionel Messi,03/04,Barça U19,Barcelona C,-,-
Lionel Messi,03/04,Barça U16,Barça U19,-,-
Lionel Messi,02/03,Barça Youth,Barça U16,-,-
Lionel Messi,00/01,Newell's Youth,Barça Youth,-,free transfer
Casemiro,22/23,Real Madrid,Man Utd,€40.00m,€70.65m
Casemiro,15/16,FC Porto,Real Madrid,€10.00m,€15.00m
Casemiro,15/16,Real Madrid,FC Porto,€10.00m,€7.50m
Casemiro,14/15,FC Porto,Real Madrid,€7.00m,End of loan
Casemiro,14/15,Real Madrid,FC Porto,€6.00m,"Loan fee:
€600k"
Casemiro,13/14,São Paulo,Real Madrid,€6.00m,€6.00m
Casemiro,12/13,RM Castilla,São Paulo,€6.00m,End of loan
Casemiro,12/13,São Paulo,RM Castilla,€4.50m,loan transfer
Casemiro,10/11,São Paulo U20,São Paulo,-,-
Hugo Larsson,23/24,Malmö FF,E. Frankfurt,€9.00m,€9.00m
Hugo Larsson,21/22,Malmö FF U19,Malmö FF,-,-
Hugo Larsson,21/22,Malmö FF U17,Malmö FF U19,-,-
Danilo,22/23,Palmeiras,Nottm Forest,€25.00m,€20.00m
Danilo,20/21,PFC Cajazeiras,Palmeiras,-,€100k
Danilo,20/21,Palmeiras U20,PFC Cajazeiras,-,End of loan
Danilo,18/19,PFC Cajazeiras,Palmeiras U20,-,loan transfer
João Gomes,22/23,Flamengo,Wolves,€15.00m,€18.70m
João Gomes,20/21,Flamengo U20,Flamengo,€3.50m,-
Jamie Bynoe-Gittens,22/23,B. Dortmund U19,Bor. Dortmund,€4.00m,-
Jamie Bynoe-Gittens,20/21,Man City Youth,B. Dortmund U19,-,free transfer
Jamie Bynoe-Gittens,18/19,Reading Yth.,Man City Youth,-,?
Ilya Zabarnyi,22/23,Dynamo Kyiv,Bournemouth,€15.00m,€22.70m
Ilya Zabarnyi,20/21,Dynamo Kyiv II,Dynamo Kyiv,-,-
Ilya Zabarnyi,19/20,Dynamo Kyiv U19,Dynamo Kyiv II,-,-
Ilya Zabarnyi,18/19,Dynamo Kyiv U17,Dynamo Kyiv U19,-,-
Antony,22/23,Ajax,Man Utd,€35.00m,€95.00m
Antony,20/21,São Paulo,Ajax,€18.00m,€15.75m
Antony,18/19,São Paulo U20,São Paulo,-,-
Antony,17/18,São Paulo U17,São Paulo U20,-,-
Armando Broja,23/24,Fulham,Chelsea,€28.00m,End of loan
Armando Broja,23/24,Chelsea,Fulham,€28.00m,loan transfer
Armando Broja,22/23,Chelsea U21,Chelsea,€22.00m,-
Armando Broja,21/22,Southampton,Chelsea U23,€18.00m,End of loan
Armando Broja,21/22,Chelsea U23,Southampton,€3.00m,loan transfer
Armando Broja,20/21,Vitesse,Chelsea U23,€3.00m,End of loan
Armando Broja,20/21,Chelsea U23,Vitesse,€1.00m,loan transfer
Armando Broja,20/21,Chelsea U18,Chelsea U23,-,-
Armando Broja,18/19,Chelsea Youth,Chelsea U18,-,-
Armando Broja,09/10,Tottenham Yth.,Chelsea Youth,-,free transfer
Youssouf Fofana,19/20,R. Strasbourg,Monaco,€6.00m,€15.00m
Youssouf Fofana,18/19,R. Strasbourg B,R. Strasbourg,-,-
Youssouf Fofana,17/18,JA Drancy U19,R. Strasbourg B,-,free transfer
Karim Adeyemi,22/23,RB Salzburg,Bor. Dortmund,€35.00m,€30.00m
Karim Adeyemi,19/20,FC Liefering,RB Salzburg,€7.50m,End of loan
Karim Adeyemi,18/19,RB Salzburg,FC Liefering,€1.50m,loan transfer
Karim Adeyemi,18/19,U'haching U19,RB Salzburg,-,€10.10m
Karim Adeyemi,17/18,U'haching U17,U'haching U19,-,-
Karim Adeyemi,16/17,U'haching Yth.,U'haching U17,-,-
Karim Adeyemi,12/13,Forstenried Jgd,U'haching Yth.,-,free transfer
Karim Adeyemi,11/12,B. München Yth.,Forstenried Jgd,-,free transfer
Karim Adeyemi,09/10,Forstenried Jgd,B. München Yth.,-,free transfer
Matty Cash,20/21,Nottm Forest,Aston Villa,€4.80m,€15.75m
Matty Cash,16/17,Nottingham U18,Nottm Forest,-,-
Matty Cash,15/16,Dag & Red FC,Nottingham U18,-,End of loan
Matty Cash,15/16,Nottingham U18,Dag & Red FC,-,loan transfer
Amine Gouiri,22/23,OGC Nice,Stade Rennais,€42.00m,€28.00m
Amine Gouiri,20/21,Olympique Lyon,OGC Nice,€4.00m,€7.00m
Amine Gouiri,17/18,Olymp. Lyon B,Olympique Lyon,-,-
Amine Gouiri,16/17,Olymp. Lyon U19,Olymp. Lyon B,-,-
Amine Gouiri,15/16,Ol. Lyon Yth.,Olymp. Lyon U19,-,-
Giacomo Raspadori,23/24,Sassuolo,SSC Napoli,€35.00m,€26.00m
Giacomo Raspadori,22/23,SSC Napoli,Sassuolo,€35.00m,End of loan
Giacomo Raspadori,22/23,Sassuolo,SSC Napoli,€28.00m,"Loan fee:
€5.00m"
Giacomo Raspadori,18/19,Sassuolo U19,Sassuolo,€200k,-
Giacomo Raspadori,17/18,Sassuolo U17,Sassuolo U19,-,-
Giacomo Raspadori,16/17,US Sassuolo You,Sassuolo U17,-,-
Giacomo Raspadori,09/10,Progresso Gio.,US Sassuolo You,-,?
Vitaliy Mykolenko,21/22,Dynamo Kyiv,Everton,€17.00m,€23.50m
Vitaliy Mykolenko,17/18,Dynamo Kyiv II,Dynamo Kyiv,-,-
Vitaliy Mykolenko,17/18,Dynamo Kyiv U19,Dynamo Kyiv II,-,-
Vitaliy Mykolenko,16/17,Dynamo Kyiv U17,Dynamo Kyiv U19,-,-
Kalvin Phillips,23/24,West Ham,Man City,€28.00m,End of loan
Kalvin Phillips,23/24,Man City,West Ham,€28.00m,"Loan fee:
€7.00m"
Kalvin Phillips,22/23,Leeds,Man City,€50.00m,€49.00m
Kalvin Phillips,15/16,Leeds U21,Leeds,-,-
Kalvin Phillips,14/15,Leeds U18,Leeds U21,-,-
Ermedin Demirovic,22/23,SC Freiburg,FC Augsburg,€6.00m,free transfer
Ermedin Demirovic,20/21,Alavés,SC Freiburg,€3.00m,€3.70m
Ermedin Demirovic,19/20,FC St. Gallen,Alavés,€3.00m,End of loan
Ermedin Demirovic,19/20,Alavés,FC St. Gallen,€1.00m,loan transfer
Ermedin Demirovic,18/19,UD Almería,Alavés,€1.00m,End of loan
Ermedin Demirovic,18/19,Alavés,UD Almería,€1.00m,loan transfer
Ermedin Demirovic,18/19,FC Sochaux,Alavés,€1.00m,End of loan
Ermedin Demirovic,18/19,Alavés,FC Sochaux,€1.00m,loan transfer
Ermedin Demirovic,18/19,Alavés B,Alavés,€1.00m,-
Ermedin Demirovic,17/18,RB Leipzig U19,Alavés B,-,free transfer
Ermedin Demirovic,15/16,RB Leipzig U17,RB Leipzig U19,-,-
Ermedin Demirovic,14/15,HSV Yth.,RB Leipzig U17,-,€100k
Taiwo Awoniyi,22/23,Union Berlin,Nottm Forest,€20.00m,€20.50m
Taiwo Awoniyi,21/22,Liverpool,Union Berlin,€5.00m,€8.55m
Taiwo Awoniyi,20/21,Union Berlin,Liverpool,€5.00m,End of loan
Taiwo Awoniyi,20/21,Liverpool,Union Berlin,€3.20m,loan transfer
Taiwo Awoniyi,19/20,1.FSV Mainz 05,Liverpool,€3.20m,End of loan
Taiwo Awoniyi,19/20,Liverpool,1.FSV Mainz 05,€4.50m,"Loan fee:
€500k"
Taiwo Awoniyi,18/19,Mouscron,Liverpool,€4.50m,End of loan
Taiwo Awoniyi,18/19,Liverpool,Mouscron,€1.50m,loan transfer
Taiwo Awoniyi,18/19,KAA Gent,Liverpool,€1.50m,End of loan
Taiwo Awoniyi,18/19,Liverpool,KAA Gent,€1.50m,loan transfer
Taiwo Awoniyi,17/18,Mouscron,Liverpool,€1.50m,End of loan
Taiwo Awoniyi,17/18,Liverpool,Mouscron,€400k,loan transfer
Taiwo Awoniyi,16/17,NEC Nijmegen,Liverpool,€400k,End of loan
Taiwo Awoniyi,16/17,Liverpool,NEC Nijmegen,€300k,loan transfer
Taiwo Awoniyi,15/16,FSV Frankfurt,Liverpool,€300k,End of loan
Taiwo Awoniyi,15/16,Liverpool,FSV Frankfurt,-,loan transfer
Taiwo Awoniyi,15/16,Imperial Acad.,Liverpool,-,€1.10m
Viktor Tsygankov,22/23,Dynamo Kyiv,Girona,€22.00m,€5.00m
