player,season,from_club,to_club,market_value,transfer_fee
Martin Terrier,2017,LOSC Lille,R. Strasbourg,0.4,loan transfer
Aaron Ramsdale,2018,Bournemouth,AFC Wimbledon,0.5,loan transfer
Aaron Ramsdale,2017,Bournemouth,Chesterfield FC,0.5,loan transfer
Aaron Ramsdale,2015,Sheff Utd U18,Worksop,0.0,loan transfer
Perr Schuurs,2017,Ajax,Fortuna Sittard,0.5,loan transfer
Robert Sánchez,2019,Brighton U23,Rochdale,0.0,loan transfer
Robert Sánchez,2018,Brighton U23,Forest Green,0.0,loan transfer
Jadon Sancho,2023,Man Utd,Bor. Dortmund,25.0,loan transfer
Emile Smith Rowe,2019,Arsenal U23,Huddersfield,3.0,loan transfer
Emile Smith Rowe,2018,Arsenal U23,RB Leipzig,0.0,loan transfer
Yoane Wissa,2017,Angers SCO,AC Ajaccio,0.3,loan transfer
Yoane Wissa,2016,Angers SCO,Stade Lavallois,0.3,loan transfer
Hiroki Ito,2021,Júbilo Iwata,VfB Stuttgart,0.55,loan transfer
Hiroki Ito,2018,Júbilo Iwata,Nagoya Grampus,0.075,loan transfer
Sean Longstaff,2017,Newcastle U23,Blackpool,0.075,loan transfer
Sean Longstaff,2016,Newcastle U23,Kilmarnock FC,0.0,loan transfer
Denis Zakaria,2022,Juventus,Chelsea,27.0,loan transfer
Weston McKennie,2022,Juventus,Leeds,21.0,loan transfer
Weston McKennie,2020,FC Schalke 04,Juventus,20.0,loan transfer
Gianluca Scamacca,2020,Sassuolo,Genoa,5.0,loan transfer
Gianluca Scamacca,2019,Sassuolo,Ascoli,0.7,loan transfer
Gianluca Scamacca,2018,Sassuolo,PEC Zwolle,0.8,loan transfer
Gianluca Scamacca,2017,Sassuolo,Cremonese,0.3,loan transfer
Marcus Edwards,2018,Tottenham U23,Excelsior,0.5,loan transfer
Marcus Edwards,2017,Tottenham U23,Norwich,0.0,loan transfer
Hee-chan Hwang,2021,RB Leipzig,Wolves,11.0,loan transfer
Hee-chan Hwang,2018,RB Salzburg,Hamburger SV,10.0,loan transfer
Marc Cucurella,2019,Barcelona,Getafe,10.0,loan transfer
Marc Cucurella,2018,Barcelona,SD Eibar,5.0,loan transfer
Mario Hermoso,2015,RM Castilla,Real Valladolid,0.2,loan transfer
Chris Führich,2020,B. Dortmund II,SC Paderborn,0.2,loan transfer
Kevin Danso,2020,FC Augsburg,F. Düsseldorf,6.3,loan transfer
Kevin Danso,2019,FC Augsburg,Southampton,8.0,loan transfer
Aleix García,2019,Man City,Mouscron,3.0,loan transfer
Aleix García,2017,Man City,Girona,1.0,loan transfer
Youri Tielemans,2018,Monaco,Leicester,18.0,loan transfer
Álex Remiro,2017,Athletic,SD Huesca,0.6,loan transfer
Álex Remiro,2016,Athletic,Levante,1.0,loan transfer
Ruben Loftus-Cheek,2020,Chelsea,Fulham,24.0,loan transfer
Ruben Loftus-Cheek,2017,Chelsea,Crystal Palace,5.0,loan transfer
Kurt Zouma,2018,Chelsea,Everton,15.0,loan transfer
Kurt Zouma,2017,Chelsea,Stoke City,15.0,loan transfer
Kurt Zouma,2013,Chelsea,Saint-Étienne,7.5,loan transfer
Antoine Griezmann,2021,Barcelona,Atlético Madrid,60.0,loan transfer
Antonio Rüdiger,2015,VfB Stuttgart,AS Roma,10.0,loan transfer
David Alaba,2010,Bayern Munich,TSG Hoffenheim,2.0,loan transfer
Maximilian Beier,2021,TSG Hoffenheim,Hannover 96,2.0,loan transfer
Guido Rodríguez,2015,River Plate,Defensa,0.75,loan transfer
Tijjani Reijnders,2019,AZ Alkmaar,RKC Waalwijk,0.7,loan transfer
Nathan Tella,2022,Southampton,Burnley,1.8,loan transfer
Beto,2021,Portimonense,Udinese Calcio,5.0,loan transfer
James Garner,2021,Man Utd,Nottm Forest,4.0,loan transfer
James Garner,2020,Man Utd,Nottm Forest,3.5,loan transfer
James Garner,2020,Man Utd,Watford,2.7,loan transfer
Taylor Harwood-Bellis,2023,Man City,Southampton,25.0,loan transfer
Taylor Harwood-Bellis,2022,Man City,Burnley,7.0,loan transfer
Taylor Harwood-Bellis,2021,Man City,Stoke City,3.0,loan transfer
Taylor Harwood-Bellis,2021,Man City,RSC Anderlecht,3.0,loan transfer
Taylor Harwood-Bellis,2020,Man City,Blackburn,2.3,loan transfer
Sacha Boey,2020,Stade Rennais,Dijon,1.8,loan transfer
Lucas Chevalier,2021,LOSC Lille,Valenciennes FC,0.5,loan transfer
Omar Marmoush,2021,VfL Wolfsburg,VfB Stuttgart,2.0,loan transfer
Omar Marmoush,2020,VfL Wolfsburg,FC St. Pauli,0.4,loan transfer
Pedro,2019,Fiorentina,Flamengo,15.0,loan transfer
Jack Harrison,2023,Leeds,Everton,22.0,loan transfer
Jack Harrison,2018,Man City,Leeds,3.5,loan transfer
Jack Harrison,2017,Man City,Middlesbrough,1.75,loan transfer
Angel Gomes,2020,LOSC Lille,Boavista,3.6,loan transfer
Sergiño Dest,2023,Barcelona,PSV Eindhoven,10.0,loan transfer
Sergiño Dest,2022,Barcelona,AC Milan,18.0,loan transfer
Deniz Undav,2023,Brighton,VfB Stuttgart,10.0,loan transfer
Deniz Undav,2021,Brighton,Union SG,5.0,loan transfer
Konstantinos Tsimikas,2017,Olympiacos,Willem II,0.3,loan transfer
Konstantinos Tsimikas,2016,Olympiacos,Esbjerg fB,0.25,loan transfer
Vangelis Pavlidis,2018,VfL Bochum,Willem II,0.15,loan transfer
Vangelis Pavlidis,2017,VfL Bochum,B. Dortmund II,0.2,loan transfer
Emiliano Buendía,2017,Getafe,CyD Leonesa,0.5,loan transfer
Dominic Calvert-Lewin,2015,Sheff Utd,Northampton,0.0,loan transfer
