player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter,age
Destiny Udogie,45.0,Left Back,Left Midfield,Italy,2002-11-28,Verona  ,Italy,188,Tottenham Hotspur,2030-06-30,-,,38,left,Puma,22
Pedro Porro,45.0,Right Back,Right Midfield,Spain,1999-09-13,Don Benito  ,Spain,173,Tottenham Hotspur,2028-06-30,-,,23,right,Nike,25
Santiago Gimenez,45.0,Centre Forward,,Mexico,2001-04-18,Buenos Aires  ,Argentina,182,Feyenoord Rotterdam,2027-06-30,-,,29,left,adidas,23
Kaoru Mitoma,45.0,Left Winger,Left Midfield,Japan,1997-05-20,"Kawasaki, Kanagawa  ",Japan,178,Brighton & Hove Albion,2027-06-30,-,,22,right,Puma,27
Vitinha,45.0,Central Midfield,"Attacking Midfield, Defensive Midfield",Portugal,2000-02-13,Vila das Aves  ,Portugal,172,Paris Saint-Germain,2027-06-30,-,,17,right,Nike,24
Lisandro Martínez,45.0,Centre Back,"Left-Back, Defensive Midfield",Argentina,1998-01-18,Gualeguay  ,Argentina,175,Manchester United,2027-06-30,-,,6,left,,26
Pau Torres,45.0,Centre Back,,Spain,1997-01-16,Villarreal  ,Spain,192,Aston Villa,2028-06-30,-,,14,left,,27
Sven Botman,45.0,Centre Back,,Netherlands,2000-01-12,Badhoevedorp  ,Netherlands,195,Newcastle United,2027-06-30,-,,4,left,adidas,24
Diogo Costa,45.0,Goalkeeper,,Portugal,1999-09-19,Rothrist  ,Switzerland,186,FC Porto,2027-06-30,-,,99,right,adidas,25
Ibrahima Konaté,45.0,Centre Back,,France,1999-05-25,Paris  ,France,194,Liverpool FC,2026-06-30,-,,5,right,Nike,25
Lucas Hernández,45.0,Left Back,Centre-Back,France,1996-02-14,Marseille  ,France,184,Paris Saint-Germain,2028-06-30,-,,21,left,Nike,28
