player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter
Lesley Ugochukwu,€25.00m,Defensive Midfield,['Central Midfield'],France,"Mar 26, 2004 (20)",Rennes  ,France,"1,90 m",Chelsea FC,30-Jun-30,-,-,#16,right,Nike
Samuel Lino,€25.00m,Left Winger,"['Left Midfield', 'Right Winger']",Brazil,"Dec 23, 1999 (24)",Santo André  ,Brazil,"1,70 m",Atlético de Madrid,30-Jun-27,-,-,#12,right,
Matías Soulé,€25.00m,Right Winger,"['Attacking Midfield', 'Second Striker']",Argentina,"Apr 15, 2003 (21)",Mar del Plata  ,Argentina,"1,82 m",Frosinone Calcio,30-Jun-24,Juventus FC,30-Jun-26,#18,left,adidas
Marcos Leonardo,€25.00m,Centre-Forward,['Second Striker'],Brazil,"May 2, 2003 (20)",Itapetinga  ,Brazil,"1,77 m",SL Benfica,30-Jun-29,-,-,#36,right,Nike
Oscar Bobb,€25.00m,Right Winger,"['Attacking Midfield', 'Left Winger']",Norway,"Jul 12, 2003 (20)",Oslo  ,Norway,"1,75 m",Manchester City,30-Jun-29,-,-,#52,left,Puma
Bilal El Khannouss,€25.00m,Attacking Midfield,['Central Midfield'],Morocco,"May 10, 2004 (19)",Strombeek-Bever  ,Belgium,"1,80 m",KRC Genk,30-Jun-27,-,-,#10,right,
Manu Koné,€25.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",France,"May 17, 2001 (22)",Colombes  ,France,"1,85 m",Borussia Mönchengladbach,30-Jun-26,-,-,#17,right,adidas
Georgiy Sudakov,€25.00m,Attacking Midfield,"['Central Midfield', 'Left Midfield']",Ukraine,"Sep 1, 2002 (21)","Bryanka, Lugansk Oblast  ",Ukraine,"1,77 m",Shakhtar Donetsk,31-Dec-28,-,-,#10,both,Nike
Rayan Cherki,€25.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",France,"Aug 17, 2003 (20)",Lyon  ,France,"1,77 m",Olympique Lyon,30-Jun-25,-,-,#18,both,adidas
Pierre Kalulu,€25.00m,Centre-Back,['Right-Back'],France,"Jun 5, 2000 (23)",Lyon  ,France,"1,82 m",AC Milan,30-Jun-27,-,-,#20,right,
Strahinja Pavlovic,€25.00m,Centre-Back,[],Serbia,"May 24, 2001 (22)",Šabac  ,Yugoslavia (Republic),"1,94 m",Red Bull Salzburg,30-Jun-27,-,-,#31,left,Puma
Radu Drăgușin,€25.00m,Centre-Back,['Right-Back'],Romania,"Feb 3, 2002 (22)",Bucharest  ,Romania,"1,91 m",Tottenham Hotspur,30-Jun-30,-,-,#6,right,Nike
Álex Baena,€25.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Spain,"Jul 20, 2001 (22)",Roquetas de Mar  ,Spain,"1,74 m",Villarreal CF,30-Jun-28,-,-,#16,right,
Mohamed Camara,€25.00m,Defensive Midfield,['Central Midfield'],Mali,"Jan 6, 2000 (24)",Bamako  ,Mali,"1,73 m",AS Monaco,30-Jun-27,-,-,#4,right,
Terem Moffi,€25.00m,Centre-Forward,['Right Winger'],Nigeria,"May 25, 1999 (24)",Calabar  ,Nigeria,"1,88 m",OGC Nice,30-Jun-27,-,-,#9,left,
Anatoliy Trubin,€25.00m,Goalkeeper,[],Ukraine,"Aug 1, 2001 (22)",Donetsk  ,Ukraine,"1,99 m",SL Benfica,30-Jun-28,-,-,#1,right,Puma
